"Guide Title","Guide #","# of pages","Country","State/Province","Category/Subcategory","Authors","Date created","Year published","Language"
"Goiás - Podostemaceae of  Chapada dos Veadeiros National Park","1003","2","Brazil","Goiás","Plants, Aquatic plants","Inara C. Silva-Batista , Claudia P. Bove","March, 2018","2018","English"
"Common North Atlantic Wood-boring Bivalves","1001","2","","","Other invertebrates","J.R. Voight","April, 2018","2018","English"
"São Paulo - Orchids of Serra do Mar State Park","1000","13","Brazil","São Paulo","Plants","Carlos E. P. Nunes, Khalid Yasseen , Ryan Luxon, Harvey Williams, Samantha Koehler, Marcelo Pires","July, 2018","2018","English"
"Illinois - Warblers of the Chicago Region ","999","3","USA","Illinois","Animals, Birds","Maureen Marsh, Cathy Walz","March, 2018","2018","English"
"Attapeu - Selected Plants of  Attapeu Province","998","10","Lao People's Democratic Republic ","Attapeu ","Plants","Djaja Doel Soejarto , Bethany Elkington, Kongmany Sydara, Onelivay Souliya, Mouachanh Xayveu","April, 2018","2018","English"
"Tolima - Snakes of North of Tolima","997","4","Colombia","Tolima","Animals, Reptiles","Ronald Mauricio Parra-Hernández, Duvan Zambrano, William Enrique Figueroa","May, 2018","2018","English"
"Pará - Macrofungi of the Tapajós National Forest ","996","8","Brazil","Pará","Mushrooms","Marcos Diones Ferreira Santana, Douglas de Moraes Couceiro , Sheyla Regina Marques Couceiro","April, 2018","2018","English"
"Puntarenas - Spider of Cocos Island National Park","995","4","Costa Rica","Puntarenas","Animals, Spiders and scorpions","Darko D. Cotoras, Carlos Víquez","May, 2018","2018","English"
"Amazonas - Plants in the diet of the Spectacled Bear (Tremarctos ornatus) ","994","6","Peru","Amazonas","Plants","Alexandra Mireya Chávez, Camilo Díaz, Jessica María Amanzo","March, 2018","2018","English"
"Espírito Santo - Psidium (Myrtaceae) ","993","2","Brazil","Espírito Santo","Plants","Amélia Carlos Tuler, Tatiana Tavares Carrijo, Marcia Flores da Silva Ferreira, Ariane Luna Peixoto","March, 2018","2018","English"
"Esmeraldas - Birds of El Pambilar Wildlife Refuge","992","12","Ecuador","Esmeraldas","Animals, Birds","Víctor Hugo Tacuri, Bolivar Mauricio Leverone, Marcos Efraín Salinas, José Wilson Bonilla, Alex Vladimir Garofalo, Edgar Javier Pianchiche, Elba Teresa Guananga, Daniel Rolando Garcia, Edison Araguillin","October, 2018","2018","English"
"Pichincha - Common Plants of Pululahua Geobotanical Reserve","991","9","Ecuador","Pichincha","Plants","Carlos Eduardo Cerón Martínez, Carmita Isabel Reyes Tello","March, 2018","2018","English"
"Cundinamarca - Orchidaceae of Alto Tequendama","990","4","Colombia","Cundinamarca","Plants","Alejandro Calderón González,  Mauricio Casas Bello, Nhora Helena Ospina","February, 2018","2018","English"
"Ceará - Plantas of Araripe-Apodi National Park","989","8","Brazil","Ceará","Plants","Maria Arlene P. da Silva, Antônio Carlito B. dos Santos, Marcos Aurélio F. dos Santos, Ana Cleide A. Morais-Mendonça, Rubens T. de Queiroz, Rayane de T.M. Ribeiro, Maria Iracema B. Loiola","January, 2018","2018","English"
"Ceará - Convolvulaceae of Maciço de Uruburetama","988","2","Brazil","Ceará","Plants","Francisco Diego Sousa Santos, Rayane de Tasso Moreira Ribeiro, Marlene Feliciano Figueirêdo, Elnatan Bezerra de Souza","January, 2018","2018","English"
"Pichincha - Common Pollen Grains of  Pululahua Geobotanical Reserve","987","9","Ecuador","Pichincha","Plants","Karla Valdivieso Bermeo, Jorge Brito","March, 2018","2018","English"
"Ayacucho - Birds of Valley of Vinchos","986","4","Peru","Ayacucho","Animals, Birds","L. Yisela Quispe Flores","September, 2018","2018","English"
"Caquetá - Birds of Campus de la Universidad de la Amazonia","985","8","Colombia","Caquetá","Animals, Birds","Jorge Luis Peña-Núñez, Varlis A. Jiménez-Ferreira & Michael J. Pasaje-Bolaños, Varlis A. Jiménez-Ferreira, Michael J. Pasaje-Bolaños","April, 2018","2018","English"
"Orellana - Emblematic Trees of Yasuní National Park","984","45","Ecuador","Orellana","Plants","Nicolás Zapata, Emilia Rivadeneira, Wilson Loor, Rubén D. Jarrín E., Renato Valencia, Álvaro J. Pérez","January, 2018","2018","English"
"Zamora Chinchipe - Amphibians and Reptiles of Quimi River ","983","24","Ecuador","Zamora Chinchipe","Animals, Amphibians, Reptiles","Raquel Betancourt, Fernando Romo, Diego Chungandro, Pamela Baldeón","January, 2018","2018","English"
